model,mean_predicted_probability,fraction_positive
logistic_regression,0.37323299287794953,0.41333333333333333
logistic_regression,0.46011039284298505,0.46
logistic_regression,0.503268000574293,0.51
logistic_regression,0.5375653485123473,0.5233333333333333
logistic_regression,0.571444267110392,0.5833333333333334
logistic_regression,0.6037902438820353,0.6533333333333333
logistic_regression,0.634153220871343,0.65
logistic_regression,0.6664184420067336,0.6433333333333333
logistic_regression,0.7056214675550877,0.6466666666666666
logistic_regression,0.7717844987607946,0.74
gradient_boosting,0.3778667989871752,0.41
gradient_boosting,0.4595167962549873,0.4866666666666667
gradient_boosting,0.5041045650477238,0.52
gradient_boosting,0.5410452102454749,0.59
gradient_boosting,0.5739747324622049,0.5766666666666667
gradient_boosting,0.6034199593708199,0.59
gradient_boosting,0.6318557406714702,0.63
gradient_boosting,0.663048495165168,0.6166666666666667
gradient_boosting,0.7026125903721991,0.6566666666666666
gradient_boosting,0.7715203368408445,0.7466666666666667
