voter_id,district,age_band,race,turnout_history,gender,education,treatment,prior_turnout_rate,donor_propensity,digital_engagement,contactability_score,issue_salience_score,action_taken,donated,pledged_to_vote,clicked_message,message_label,age_order
1,PA-07,65+,White,Low,Female,Graduate,economic_security,0.5550966454890484,0.311010567549067,0.8038124305764105,67.92726854260563,64.16773857151495,0,0,0,0,Economic Security,3
2,WI-03,18-29,White,Low,Male,Some college,control,0.739024981276145,0.10829705375287453,0.5425522421162339,48.40570963013704,63.0019806016817,0,0,0,0,Control,0
3,TX-32,18-29,Latino,Medium,Male,Some college,control,0.5551296376644614,0.39833685657428114,0.18550736507572296,46.7716896453614,80.85348321807739,0,1,0,1,Control,0
4,GA-06,65+,Latino,Low,Male,High school,future_forward,0.11824006834185938,0.4219330360048087,0.4455378536530087,68.79114091511127,47.62780960011763,0,1,0,0,Future Forward,3
5,MI-08,45-64,White,Low,Female,Some college,future_forward,0.5626015476867237,0.5322374491526594,0.5474413661409153,66.10901651941882,60.291262894055045,1,0,1,1,Future Forward,2
6,WI-03,30-44,White,High,Male,Graduate,economic_security,0.5919906897423817,0.24671617041695407,0.6020872089328141,53.172625345621896,65.02391651891162,1,0,1,0,Economic Security,1
7,AZ-01,18-29,Latino,Low,Male,Graduate,control,0.27225519772820356,0.3529102668710576,0.9011300629168058,56.918983532677295,68.26749649234024,1,0,1,0,Control,0
8,TX-32,18-29,Black,Low,Male,High school,community_voice,0.4870451556959272,0.24271864411814933,0.39934985629270925,38.35445306176284,56.38500549519964,0,0,0,0,Community Voice,0
9,TX-32,30-44,Latino,Medium,Male,Some college,future_forward,0.9096118658550667,0.2185386830274799,0.3283775244895786,65.63128681350301,55.5939673742836,1,0,1,1,Future Forward,1
10,NC-13,18-29,Black,Low,Male,Some college,community_voice,0.6318584899584613,0.39179582849772693,0.8764722986952408,34.46432599864378,42.28447054293378,0,0,0,0,Community Voice,0
11,MI-08,65+,Latino,Medium,Female,Some college,economic_security,0.7462574699710447,0.07686792693870063,0.8830095026828799,56.04938138737001,73.20786405098845,1,0,0,1,Economic Security,3
12,MI-08,30-44,Latino,High,Female,Graduate,control,0.12113391023170939,0.19709376713028073,0.6396633545307202,30.240038248675535,62.769179515880516,1,0,0,0,Control,1
13,MI-08,30-44,Latino,Low,Female,College+,community_voice,0.5324895333739789,0.3171323086374535,0.46645460658421406,53.70367919054813,68.76541148650651,0,0,0,0,Community Voice,1
14,NC-13,45-64,White,Low,Female,High school,control,0.023822692934966985,0.4266159576192297,0.8676563610486298,84.6668324356018,46.439641432593525,1,1,1,1,Control,2
15,NC-13,30-44,Black,High,Female,Some college,future_forward,0.24944844571693106,0.17526973152498532,0.9272718795427151,50.37556529717017,63.301743198496446,1,0,0,1,Future Forward,1
16,NC-13,18-29,Black,Low,Female,Some college,control,0.6631230102321853,0.21684376446677206,0.5305503125408256,44.84611543323785,53.566362027771206,0,0,0,0,Control,0
17,WI-03,45-64,White,High,Female,High school,community_voice,0.5335695861389305,0.36835999769842237,0.5414119517841188,64.11121215575632,73.79288338715634,1,0,1,1,Community Voice,2
18,TX-32,45-64,Black,Medium,Male,High school,future_forward,0.5837696771198613,0.24977726751911838,0.5017529135172197,62.68785701384209,81.4689113271459,0,0,0,0,Future Forward,2
19,PA-07,65+,Latino,High,Male,High school,control,0.6321247494620901,0.38121926316461,0.4785322529594954,29.66881846007187,71.23852949411553,1,0,0,1,Control,3
20,WI-03,30-44,Black,Low,Female,High school,future_forward,0.6258433470957725,0.3818676566860447,0.4292158689733339,71.56267193374232,56.28360591637282,1,0,1,1,Future Forward,1
21,GA-06,18-29,Multi/Other,Medium,Female,Some college,community_voice,0.823664225435983,0.18625107817278072,0.42995500532060954,29.915099995188196,52.97376819000194,0,0,0,0,Community Voice,0
22,GA-06,65+,White,Low,Female,Some college,control,0.7317718895997448,0.5144635409136692,0.4551233251588058,58.5469647008668,49.097436308630165,0,0,0,0,Control,3
23,PA-07,18-29,Latino,Medium,Male,Graduate,control,0.5443343746040743,0.23134787473070387,0.4471490042272385,60.13759883681149,88.45536375112033,0,0,0,0,Control,0
24,AZ-01,18-29,Latino,Low,Male,High school,economic_security,0.6639630410465948,0.1240302857758395,0.700397497324252,13.133171678232593,72.98035770999354,0,0,0,0,Economic Security,0
25,AZ-01,45-64,Latino,Medium,Female,College+,future_forward,0.8929939447792107,0.06486877887135316,0.40142687680305766,73.12130838175185,45.16890593972419,1,0,1,1,Future Forward,2
26,NC-13,65+,Black,Medium,Female,High school,community_voice,0.47478083004540006,0.3110932074807054,0.42780727488483267,58.2281385992401,46.567043808032,0,0,0,0,Community Voice,3
27,NC-13,65+,Black,Medium,Male,Graduate,community_voice,0.654651352299515,0.07124749510319739,0.568945623598243,52.79040129064614,43.86893186727417,1,0,1,1,Community Voice,3
28,WI-03,45-64,Latino,High,Male,College+,economic_security,0.3931939029943933,0.33068516391635105,0.4776748480997617,52.97207157805886,69.58545582024482,1,0,1,1,Economic Security,2
29,PA-07,30-44,Multi/Other,High,Female,High school,community_voice,0.4186586563881775,0.3964520906956774,0.7358347392121183,78.84600744913413,50.757531416573315,1,0,1,1,Community Voice,1
30,NC-13,18-29,White,Low,Female,High school,community_voice,0.5460876826336859,0.4576808003652442,0.5405813452851782,41.359675490274434,50.403490414043006,1,0,0,1,Community Voice,0
31,NC-13,45-64,White,Medium,Female,High school,future_forward,0.6770136654390321,0.1593863331478284,0.33506022913378886,54.78214801191229,80.67069016515224,0,0,0,0,Future Forward,2
32,GA-06,45-64,White,Low,Male,College+,economic_security,0.7928128411769291,0.5336763049167921,0.8489989702419082,71.32466835999789,64.2618462824232,1,0,1,1,Economic Security,2
33,AZ-01,18-29,White,High,Male,College+,economic_security,0.7983792483760602,0.43223602236611963,0.6905615526564027,70.48561586641932,57.36849933407361,1,0,1,1,Economic Security,0
34,GA-06,45-64,White,Medium,Male,High school,future_forward,0.7006476713367228,0.15381209284135758,0.28926892667929716,65.49628047361892,44.05766931785208,1,0,0,0,Future Forward,2
35,PA-07,65+,White,Medium,Male,Some college,future_forward,0.7964468742835377,0.0905126287393255,0.7282932842709264,42.0725862485383,72.97616175459197,1,0,1,1,Future Forward,3
36,GA-06,18-29,White,Low,Male,Some college,community_voice,0.35474118045062514,0.23403311030460774,0.6295673287250539,62.90458106101672,69.03200480331512,0,0,0,0,Community Voice,0
37,MI-08,45-64,White,Medium,Male,College+,community_voice,0.8742315243337507,0.08829431498859332,0.6045851230253647,71.51481555646293,42.84045299652487,1,0,1,1,Community Voice,2
38,AZ-01,30-44,Black,Low,Female,Some college,future_forward,0.35131908660517736,0.19715229654420563,0.5825246046587604,30.761511980984608,45.98420407778031,0,1,0,0,Future Forward,1
39,TX-32,45-64,Black,Medium,Male,College+,future_forward,0.39423025730869504,0.3831572778372155,0.3705648620567936,57.739179758067905,38.858568353002276,0,0,0,0,Future Forward,2
40,GA-06,18-29,White,High,Female,Graduate,future_forward,0.396146848483558,0.20221876433501867,0.5971632379103067,68.69897551343807,65.71145832594738,1,1,1,0,Future Forward,0
41,MI-08,65+,Latino,Medium,Female,College+,community_voice,0.5862688919712719,0.36358035869357397,0.2747444788112856,68.01955043283841,68.63295086368106,0,0,0,0,Community Voice,3
42,WI-03,30-44,White,High,Female,Some college,control,0.513431198798586,0.1295734284645315,0.4671646654813642,72.93896681696233,77.0270752990496,0,0,0,0,Control,1
43,NC-13,45-64,Black,High,Female,High school,economic_security,0.6223941351248797,0.06869873903093744,0.20618743729770847,85.04492166363154,45.39008402508269,1,0,0,1,Economic Security,2
